panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y,width,height
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,56,_nolegend_,,1.7,-0.7358486391603947,0.6000000000000001,-0.05692518502473831
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,57,_nolegend_,,2.7,-0.7498693861998618,0.6000000000000001,-0.17167937755584717
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,58,_nolegend_,,3.7,-0.9086136454716325,0.6000000000000001,-0.023522060364484787
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,59,_nolegend_,,4.7,-0.8933005626313388,0.6000000000000001,-0.02949170209467411
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,60,_nolegend_,,0.7,-0.9329061834141612,0.6000000000000001,-0.054926153272390366
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,61,_nolegend_,,1.7,-0.792773824185133,0.6000000000000001,-0.18738603591918945
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,62,_nolegend_,,2.7,-0.9215487637557089,0.6000000000000001,-0.06401664018630981
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,63,_nolegend_,,3.7,-0.9321357058361173,0.6000000000000001,-0.056422557681798935
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,64,_nolegend_,,4.7,-0.922792264726013,0.6000000000000001,-0.07029766589403152
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,65,_nolegend_,,0.7,-0.9878323366865516,0.6000000000000001,-0.012167615815997124
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,66,_nolegend_,,1.7,-0.9801598601043224,0.6000000000000001,-0.019840182736516
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,67,_nolegend_,,2.7,-0.9855654039420187,0.6000000000000001,-0.014434613287448883
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,68,_nolegend_,,3.7,-0.9885582635179162,0.6000000000000001,-0.011441711336374283
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,69,_nolegend_,,4.7,-0.9930899306200445,0.6000000000000001,-0.006909999530762434
